index,name,servces,rating,bonus
1, Nando's, Chicken and Burgers, 4.6 ,"Free
delivery"
2, Jakob's Kitchen," Mediterranean, Middle Eastern, Lebanese, and Chicken", 4.8 ,"25%
off"
3, Kokoro ," Sushi, Japanese, Curry, and Chicken", 4.8 ,"Free
delivery"
4, Chick'N'Bun," Chicken, Fried chicken, American, and Burgers", 4.4 ,"40%
off"
5, BabaBoom - Battersea," Middle Eastern, Kebab, Chicken, and Falafel", 4.7 ,"Free
delivery"
6, KFC," Chicken, Fried chicken, Wings, and American", 3.9 ,"Free
delivery"
7, Mother's Pad Thai," Thai, Chicken, and Curry",no rating,"25%
off"
8, Wingstop," American, Wings, Fried chicken, and Chicken", 4.7 ,"Meal
deals"
9, Chilango," Burritos, Mexican, Chicken, and Salads", 4.7 ,"Meal
deals"
10, Three Uncles," Chinese, BBQ, Chicken, and Noodles", 4.7 ,"Free
delivery"
11, Coqfighter," Burgers, Chicken, Wings, and British", 4.6 ,"Free
delivery"
12, Mikos Gyros," Greek, Chicken, Alcohol, and Kebab", 4.7 ,"Free
delivery"
13, Nando's - Balham, Chicken and Burgers, 4.7 ,"Free
delivery"
14," 🍕⚡️BROOKLYN PIZZA CREW 🍕⚡️ - 20"" Pizzas"," Pizza, Dessert, Chicken, and American", 4.5 ,"20%
off"
15, Out Fry - Korean Chicken (Balham)," Fried chicken, Korean, Asian, and Dessert", 4.6 ,"Free
delivery"
16, Waleema," Lebanese, Salads, Falafel, and Wraps", 4.7 ,"20%
off"
17, Hache," Burgers, American, Chicken, and Alcohol", 4.5 ,"Free
delivery"
18, Poptata - Loaded Fries & Chicken," American, Burgers, and Chicken", 4.6 ,"30%
off"
19, Dirty Bones," Burgers, Chicken, American, and British",no rating,"Free
delivery"
20, Pasha Mangal," Turkish, Chicken, BBQ, and Salads", 4.7 ,"Free
delivery"
21, Meat & Shake," American, Burgers, Chicken, and BBQ", 4.5 ,"Free
delivery"
22, Sam's Chicken," Chicken, Fried chicken, Wraps, and British", 4.5 ,"Meal
deals"
23, Vintage Fish," Fish and chips, British, Brunch, and Chicken", 4.5 ,"Free
delivery"
24, Remedy Kitchen," Healthy, Chicken, and Salads", 4.8 ,"25%
off"
25, Burger & Beyond," Burgers, American, Chicken, and Fried chicken", 4.6 ,"Meal
deals"
26, Little Korea ," Korean, Fried chicken, Noodles, and Asian", 4.7 ,"Free
delivery"
27, Meiwei London 美味宮," Dim Sum, Chinese, Seafood, and Chicken", 4.6 ,
28, Bosa Kitchen," Mezze, Lebanese, Turkish, and Chicken", 4.6 ,
29, Thunderbird - Award Winning Chicken," American, Burgers, Chicken, and Fried chicken", 4.4 ,
30, Classic Sushi," Sushi, Japanese, Asian, and Salads", 4.7 ,
31, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.5 ,
32, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.4 ,
