index,name,services,rating,bonus
1, Nando's, Chicken and Burgers, 4.6 ,"Free
delivery"
2, Five Guys - Burger and Fries," American, Burgers, and Milkshakes", 4.6 ,"Free
delivery"
3, Karma Burger, American and Burgers,no rating,"30%
off"
4, Coqfighter," Burgers, Chicken, Wings, and British", 4.6 ,"Free
delivery"
5, Bleecker Burger," Burgers, American, and Milkshakes", 4.6 ,"Free
delivery"
6, Shake Shack – Burgers & Shakes," American, Burgers, and Milkshakes", 4.6 ,"Free
delivery"
7, Nando's - Balham, Chicken and Burgers, 4.7 ,"Free
delivery"
8, Dip & Flip, American and Burgers, 4.6 ,"Free
delivery"
9, Out Fry - Korean Chicken (Balham)," Fried chicken, Korean, Asian, and Dessert", 4.6 ,"Free
delivery"
10, Maria's ," Fish and chips, British, and Burgers", 4.6 ,"Meal
deals"
11, Byron Burgers," Burgers, American, and Alcohol", 4.5 ,"Free
delivery"
12, by CHLOE," Burgers, American, Salads, and Healthy", 4.7 ,"Free
delivery"
13, Burger & Beyond," Burgers, American, Chicken, and Fried chicken", 4.6 ,"Meal
deals"
14, Burger King - Balham," Burgers, American, and Fried chicken", 4.5 ,"Meal
deals"
15, Hache," Burgers, American, Chicken, and Alcohol", 4.5 ,"Free
delivery"
16, Gourmet Burger Kitchen (GBK)," American, Burgers, and Alcohol", 4.4 ,"Free
delivery"
17, Meat & Shake," American, Burgers, Chicken, and BBQ", 4.5 ,"Free
delivery"
18, Sam's Chicken," Chicken, Fried chicken, Wraps, and British", 4.5 ,"Meal
deals"
19, Poptata - Loaded Fries & Chicken," American, Burgers, and Chicken", 4.6 ,"30%
off"
20, Vintage Fish," Fish and chips, British, Brunch, and Chicken", 4.5 ,"Free
delivery"
21, Thunderbird - Award Winning Chicken," American, Burgers, Chicken, and Fried chicken", 4.4 ,"Free
delivery"
22, Bird and Tie," Fried chicken, American, Burgers, and Chicken", 4.6 ,"25%
off"
23, SoBe Burger," American, Burgers, Drinks, and Dessert", 4.4 ,"40%
off"
24, Dirty Bones," Burgers, Chicken, American, and British",no rating,"Free
delivery"
25, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.5 ,"30%
off"
26, BVRGER," American, Burgers, and Dessert", 4.6 ,"40%
off"
27, Macro Food," Chicken, Salads, Healthy, and Juices", 4.8 ,
28, THE ORANGE BUFFALO," American, Wings, BBQ, and Fried chicken", 4.6 ,
29, Calowries," Wraps, Healthy, Salads, and Burgers", 4.8 ,
30, B-Town by Werty," Burgers, American, Chicken, and Dessert", 4.5 ,
31, Honest Burgers ," American, Burgers, Wings, and British", 4.5 ,
32, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.4 ,
33, Wing Shack Co," British, American, Wings, and Burgers", 4.7 ,
34, Burger & Lobster ," American, Burgers, and Seafood", 4.6 ,
35, King Roosters," Burgers, Fried chicken, Kebab, and Wraps", 4.3 ,
36, Chick'N'Bun," Chicken, Fried chicken, American, and Burgers", 4.4 ,
37, Habaneros," Chicken, American, Burgers, and Milkshakes", 4.5 ,
