index,name,services,rating,bonus
1, Nando's, Chicken and Burgers, 4.7 ,"Free
delivery"
2, KFC ," Chicken, Fried chicken, American, and Wings", 4.4 ,"Free
delivery"
3, GFC Chicken Shop by LEON," Dessert, Burgers, Chicken, and American",no rating,"Free
delivery"
4, Wingstop," American, Wings, Fried chicken, and Chicken", 4.7 ,"Meal
deals"
5, Nando's - Kensington High Street, Chicken and Burgers, 4.8 ,"Free
delivery"
6, Cocotte 🐓," Dessert, Chicken, Salads, and Healthy", 4.8 ,"Free
delivery"
7, Pasta Evangelists ," Italian, Pasta, Healthy, and Seafood", 4.6 ,"Meal
deals"
8, ⚡ TASTY KOREA ⚡," Korean, Chicken, Noodles, and Ramen", 4.8 ,"Free
delivery"
9, Jakob's Kitchen," Mediterranean, Middle Eastern, Lebanese, and Chicken", 4.8 ,"25%
off"
10, 🍖 Bullgogi 🍖," Korean, BBQ, Noodles, and Dumplings", 4.8 ,"Free
delivery"
11, Wing Wing," Chicken, American, Korean, and Wings", 4.6 ,"Meal
deals"
12, Joe & Co," American, Burgers, Wings, and Dessert", 4.6 ,"15%
off"
13, Chilango," Burritos, Mexican, Chicken, and Salads", 4.7 ,"Meal
deals"
14, Chosen Bun Burgers," American, Burgers, Milkshakes, and Chicken", 4.6 ,"Free
delivery"
15," 🍕⚡️BROOKLYN PIZZA CREW 🍕⚡️ - 20"" Pizzas"," Pizza, Dessert, Chicken, and American", 4.5 ,"20%
off"
16, Big Fernand," French, Burgers, Chicken, and American", 4.7 ,"Meal
deals"
17, Patty & Bun ," American, Burgers, Fried chicken, and Chicken", 4.6 ,"20%
off"
18, Kalamaki Street Greek," Mediterranean, Greek, Salads, and Chicken", 4.7 ,"Meal
deals"
19, Hache," Burgers, American, Chicken, and Alcohol", 4.7 ,"Free
delivery"
20, Waleema," Lebanese, Salads, Falafel, and Wraps", 4.7 ,"20%
off"
21, CHIK'N," American, Sandwiches, Chicken, and Fried chicken", 4.6 ,"Meal
deals"
22, Gold Mine Restaurant 金山楼," Chinese, Chicken, BBQ, and Seafood", 4.8 ,"Free
delivery"
23, Tian Fu 天府布衣," Chinese, Sichuan, Seafood, and Asian", 4.7 ,
24, Simple Health Kitchen," Burgers, Chicken, Salads, and British", 4.8 ,"Free
delivery"
25, Dirty Bones," Burgers, Chicken, American, and British", 4.5 ,"Free
delivery"
26, Lost Boys Chicken," American, Burgers, Chicken, and Fried chicken", 4.5 ,"20%
off"
27, Sugoi JPN," Japanese, Tacos, Sushi, and Chicken", 4.7 ,
28, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.6 ,
29, The Doner Kebab," Lebanese, Kebab, Turkish, and Middle Eastern",no rating,
30, Remedy Kitchen," Healthy, Chicken, and Salads", 4.8 ,
31, Go Viet," Vietnamese, Noodles, Chicken, and Healthy", 4.8 ,
32, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.5 ,
33, Mr Chow Chinese Takeaway," Chinese, Chicken, and Noodles", 3.9 ,
34, Royal China," Asian, Chinese, Dim Sum, and Noodles", 4.7 ,
35, Muyang Hot Pot and BBQ Chinese 牧羊人餐馆," Chinese, Noodles, Chicken, and Dim Sum", 4.8 ,
36, Ishbilia," Lebanese, Chicken, Salads, and Mezze", 4.8 ,
37, The Halal Guys," Chicken, Wraps, Mediterranean, and Greek", 4.6 ,
38, Sidechick by Patty & Bun	," American, Chicken, Healthy, and Alcohol", 4.7 ,
39, Pasar Malam - Malay Eatery," Chicken, Noodles, Alcohol, and Asian", 4.4 ,
40, Flying Noodles," Chinese, Noodles, Seafood, and Chicken", 4.6 ,
41, Meiwei London 美味宮," Dim Sum, Chinese, Seafood, and Chicken", 4.6 ,
42, JRK Kitchen, Caribbean and Chicken, 4.7 ,
43, Duck & Noodle," Asian, Chinese, Noodles, and Chicken", 4.6 ,
44, Bombay Palace," Indian, Curry, Chicken, and Asian", 4.7 ,
45, Apadana," Kebab, Wraps, Lebanese, and Mezze", 4.5 ,
46, Korean Gangnam Style KFC," Korean, Fried chicken, Chicken, and BBQ", 4.6 ,
