index,name,services,rating,bonus
1, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.5 ,"30%
off"
2, by CHLOE," Burgers, American, Salads, and Healthy", 4.7 ,"Free
delivery"
3, Epic Vegan Chick ," American, Burgers, and Fried chicken", 4.6 ,"Free
delivery"
4, VBELLY , British and Burgers, 4.7 ,"Free
delivery"
5, Little Planted Kitchen ," British, Healthy, Salads, and Burgers", 4.6 ,"Meal
deals"
6, Neat Burger - Plant Based🌱," American, Burgers, Milkshakes, and Dessert", 4.7 ,
7, BVRGER," American, Burgers, and Dessert", 4.6 ,"Free
delivery"
8, Best of Werty (Multi Brand Ordering)," American, Burgers, Chicken, and Dumplings", 4.5 ,"40%
off"
9,null,,no rating,
10,null,,no rating,
11,null,,no rating,
12,null,,no rating,
