index,name,services,rating,bonus
1, Dirty Bones," Burgers, Chicken, American, and British",no rating,"Free
delivery"
2, Nando's, Chicken and Burgers, 4.6 ,"Free
delivery"
3, KFC ," Chicken, Fried chicken, Wings, and American", 4.3 ,"Free
delivery"
4, BabaBoom - Battersea," Middle Eastern, Kebab, Chicken, and Falafel", 4.8 ,"Free
delivery"
5, Jakob's Kitchen," Mediterranean, Middle Eastern, Lebanese, and Chicken", 4.8 ,"25%
off"
6, Kokoro ," Sushi, Japanese, Curry, and Chicken", 4.8 ,"Free
delivery"
7, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.5 ,"30%
off"
8, Coqfighter," Burgers, Chicken, Wings, and British", 4.6 ,"Free
delivery"
9, Three Uncles," Chinese, BBQ, Chicken, and Noodles", 4.7 ,"Free
delivery"
10, Mikos Gyros," Greek, Chicken, Alcohol, and Kebab", 4.7 ,"Free
delivery"
11, Wingstop," American, Wings, Fried chicken, and Chicken", 4.6 ,"Free
delivery"
12, Chilango," Burritos, Mexican, Chicken, and Salads", 4.7 ,"25%
off"
13, Waleema," Lebanese, Salads, Falafel, and Wraps", 4.7 ,"20%
off"
14, Nando's - Balham, Chicken and Burgers, 4.7 ,"Free
delivery"
15, Out Fry - Korean Chicken (Balham)," Fried chicken, Korean, Asian, and Dessert", 4.6 ,"Free
delivery"
16, Hache," Burgers, American, Chicken, and Alcohol", 4.6 ,"Free
delivery"
17, Bosa Kitchen," Mezze, Lebanese, Turkish, and Chicken", 4.6 ,"10%
off"
18, Vintage Fish," Fish and chips, British, Brunch, and Chicken", 4.5 ,"Free
delivery"
19, Kings Kebab & Grill," American, Chicken, and Kebab",no rating,"20%
off"
20, Remedy Kitchen," Healthy, Chicken, and Salads", 4.8 ,"25%
off"
21, Pasha Mangal," Turkish, Chicken, BBQ, and Salads", 4.7 ,"Free
delivery"
22, Poptata - Loaded Fries & Chicken," American, Burgers, and Chicken", 4.6 ,"Free
delivery"
23, Meiwei London 美味宮," Dim Sum, Chinese, Seafood, and Chicken", 4.6 ,"Meal
deals"
24, Sam's Chicken," Chicken, Fried chicken, Wraps, and British", 4.5 ,"Meal
deals"
25, THE ORANGE BUFFALO," American, Wings, BBQ, and Fried chicken", 4.6 ,"Free
delivery"
26, YORI Korean Wimbledon," Korean, BBQ, Asian, and Noodles", 4.7 ,"10%
off"
27, Calowries," Wraps, Healthy, Salads, and Burgers", 4.8 ,
28, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.4 ,
29, Habaneros," Chicken, American, Burgers, and Milkshakes", 4.5 ,
