index,name,services,rating,bonus
1, Nando's, Chicken and Burgers, 4.7 ,"Free
delivery"
2, Burger King," American, Burgers, and Fried chicken", 4.4 ,"Meal
deals"
3, Five Guys - Burger and Fries," American, Burgers, and Milkshakes", 4.8 ,"Free
delivery"
4, Byron Burgers," American, Burgers, and Alcohol", 4.7 ,"15%
off"
5, LEON," Drinks, Dessert, British, and Burgers", 4.7 ,"Meal
deals"
6, VQ - Chelsea," Brunch, British, Burgers, and Breakfast", 4.6 ,"Free
delivery"
7, Nando's - Kensington High Street, Chicken and Burgers, 4.8 ,"Free
delivery"
8, Honest Burgers ," American, Burgers, Wings, and British", 4.7 ,
9, Gourmet Burger Kitchen (GBK)," American, Burgers, and Alcohol", 4.7 ,"Free
delivery"
10, Joe & Co," American, Burgers, Wings, and Dessert", 4.6 ,"15%
off"
11, Jollibee ," Fried chicken, Wings, Burgers, and Sandwiches", 4.6 ,"Free
delivery"
12, Big Fernand," French, Burgers, Chicken, and American", 4.6 ,"Meal
deals"
13, Hache," Burgers, American, Chicken, and Alcohol", 4.7 ,"Free
delivery"
14, Chosen Bun Burgers," American, Burgers, Milkshakes, and Chicken", 4.6 ,"Free
delivery"
15, Patty & Bun ," American, Burgers, Fried chicken, and Chicken", 4.6 ,"Free
delivery"
16, Simple Health Kitchen," Burgers, Chicken, Salads, and British", 4.8 ,"Free
delivery"
17, Yucca Tex-Mex," Mexican, Tapas, Tacos, and Burritos", 4.7 ,"Free
delivery"
18, Wing Wing," Chicken, American, Korean, and Wings", 4.6 ,"Meal
deals"
19, Bagel Kitchen," Dessert, Burgers, Bagels, and Drinks", 4.5 ,"Free
delivery"
20, GFC Chicken Shop by LEON," Dessert, Burgers, Chicken, and American",no rating,"Free
delivery"
21, Fishers Fish and Chips," Fish and chips, Ice cream, British, and Burgers", 4.5 ,
22, BVRGER," American, Burgers, and Dessert", 4.7 ,"Free
delivery"
23, Dirty Bones," Burgers, Chicken, American, and British", 4.5 ,"Free
delivery"
24, Burger & Lobster ," American, Burgers, and Seafood", 4.7 ,"Free
delivery"
25, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.5 ,"10%
off"
26, Love Walk Cafe," Brunch, Burgers, Café, and Breakfast", 4.7 ,"Free
delivery"
27, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.6 ,
28, Notting Hill Kebab," Kebab, Middle Eastern, Burgers, and Fish and chips", 4.4 ,
29, Gourmet Burger Kitchen (GBK)," American, Burgers, and Alcohol", 4.6 ,
30, Jimmy's Burger Grill," American, Café, and Burgers", 4.6 ,
31, Chic'n Wing," Fried chicken, Chicken, Wings, and Korean",no rating,
32, Parson's Green Fish Bar," British, Burgers, Fish and chips, and Pizza", 4.4 ,
33, Pepe's Piri Piri," Chicken, Fried chicken, and Burgers", 4.6 ,
34, The Locals Chelsea," Salads, Sandwiches, Healthy, and Brunch", 4.9 ,
35, Famous Pizza," Pizza, Burgers, Italian, and Chicken", 4.6 ,
36, Harrods Dining Hall," British, Italian, Pasta, and Steak", 4.8 ,
37, EggsQuisite," British, Breakfast, Brunch, and American", 4.7 ,
38, Dirty Vegan," American, Burgers, and Drinks", 4.6 ,
